SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Wind.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Code1.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Code2.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Code3.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Trun.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_PFeed.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_NFeed.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Push.nstatus_Act
NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

410	420	410	2000	410	20	410	130	410	0	410	210	410	0	410	0
412	420	412	2000	412	20	412	130	412	0	412	210	412	0	412	0
414	420	414	2000	414	20	414	130	414	0	414	210	414	0	414	0
416	420	416	2000	416	20	416	130	416	0	416	210	416	0	416	0
418	420	418	2000	418	20	418	130	418	0	418	210	418	0	418	0
420	420	420	2000	420	20	420	130	420	0	420	210	420	0	420	0
422	420	422	2000	422	20	422	130	422	0	422	210	422	0	422	0
424	420	424	2000	424	20	424	130	424	0	424	210	424	0	424	0
426	420	426	2000	426	20	426	130	426	0	426	210	426	0	426	0
428	420	428	2000	428	20	428	130	428	0	428	210	428	0	428	0
430	420	430	2000	430	20	430	130	430	0	430	210	430	0	430	0
432	420	432	2000	432	20	432	130	432	0	432	210	432	0	432	0
434	420	434	2000	434	20	434	130	434	0	434	210	434	0	434	0
436	420	436	2000	436	30	436	130	436	0	436	210	436	0	436	0
438	420	438	2000	438	30	438	130	438	0	438	210	438	0	438	0
440	420	440	2000	440	30	440	130	440	0	440	210	440	0	440	0
442	420	442	2000	442	30	442	130	442	0	442	210	442	0	442	0
444	420	444	2000	444	30	444	130	444	0	444	210	444	0	444	0
446	420	446	2000	446	30	446	130	446	0	446	210	446	0	446	0
448	420	448	2000	448	30	448	130	448	0	448	210	448	0	448	0
450	420	450	2000	450	30	450	130	450	0	450	210	450	0	450	0
452	420	452	2000	452	30	452	130	452	0	452	210	452	0	452	0
454	420	454	2000	454	30	454	130	454	0	454	210	454	0	454	0
456	420	456	2000	456	30	456	130	456	0	456	210	456	0	456	0
458	420	458	2000	458	30	458	130	458	0	458	210	458	0	458	0
460	420	460	2000	460	30	460	130	460	0	460	210	460	0	460	0
462	420	462	2000	462	30	462	130	462	0	462	210	462	0	462	0
464	420	464	2000	464	30	464	130	464	0	464	210	464	0	464	0
466	420	466	2000	466	30	466	130	466	0	466	210	466	0	466	0
468	420	468	2000	468	30	468	130	468	0	468	210	468	0	468	0
470	420	470	2000	470	30	470	130	470	0	470	210	470	0	470	0
472	420	472	2000	472	30	472	130	472	0	472	210	472	0	472	0
474	420	474	2000	474	30	474	130	474	0	474	210	474	0	474	0
476	420	476	2000	476	30	476	130	476	0	476	210	476	0	476	0
478	420	478	2000	478	30	478	130	478	0	478	210	478	0	478	0
480	420	480	2000	480	30	480	130	480	0	480	210	480	0	480	0
482	420	482	2000	482	30	482	130	482	0	482	210	482	0	482	0
484	420	484	2000	484	30	484	130	484	0	484	210	484	0	484	0
486	420	486	2000	486	30	486	130	486	0	486	210	486	0	486	0
