"TraceType","Continuous"
"TriggerType",""
"SamplePeriod","0:0:10:0:0"
"SampleRate","1"
"ExternalFileStorage","False"
"MaxSamplesPerFile","29999"
"MaxDataSetSize","100"
"TargetDirectory","C:\OMRON\Data\DataTrace\"
"FilePrefix","1#机器时序"

"SampleTimingType","interval"
"TaskName","BaseControl"
"SamplingInterval","1"
"Triggers","False:::"
"PostTriggerDataRatio","100"
"StartOnRun","False"
"EnableRealTimeDisplay","True"
"BehaviorWhenMax","Stop"

"TriggerRecordTime","0"
"StartRawTime","1739181533108760814"
"Index","Date","ClockTime","RawTime","TraceSampID","gSt1Feedingtensionstrap_StateOut.nstatus_Auto:INT","gSt2Feedingandhandling_StateOut.nstatus_Auto:INT","gSt2Feedingandhandling_StateOut.nstatus_Auto_1:INT","gSt2Feedingandhandling_StateOut.nstatus_Auto_2:INT","gSt3FeedingPreposition_StateOut.nstatus_Auto:INT","gSt4Feedingandscraping_StateOut.nstatus_Auto:INT","gSt5FeedScrape_StateOut.nstatus_Auto:INT","gSt6HotpressShaping_StateOut.nstatus_Auto:INT","gSt7FeedingScanning_StateOut.nstatus_Auto:INT","gSt8LoadingNGbox_StateOut.nstatus_Auto:INT","gSt9Feedingpackage_StateOut.nstatus_Auto:INT","gSt10blankingpackage_StateOut.nstatus_Auto:INT","gSt11PackageCart_StateOut[1].nstatus_Auto:INT","gSt11PackageCart_StateOut[2].nstatus_Auto:INT","gSt11PackageCart_StateOut[3].nstatus_Auto:INT","gSt11PackageCart_StateOut[4].nstatus_Auto:INT","gSt11PackageCart_StateOut[5].nstatus_Auto:INT","gSt11PackageCart_StateOut[6].nstatus_Auto:INT","gSt17Cutterstation_StateOut.nstatus_Auto:INT","gSt18Finesealhandling_StateOut.nstatus_Auto:INT","gSt19Fineseal_StateOut.nstatus_Auto:INT","gSt20Fineseal_StateOut.nstatus_Auto:INT","gSt21Weighing_StateOut.nstatus_Auto:INT","gSt22Blankingandhandling_StateOut.nstatus_Auto:INT","gSt23BlankingNGbox_StateOut.nstatus_Auto:INT","gSt24Blankingandscanning_StateOut.nstatus_Auto:INT","gSt25blankingandturning_StateOut.nstatus_Auto:INT","gSt26Blankingtensionstrap_StateOut.nstatus_Auto:INT"
"79","2025-02-10","09:58:53.42","1739181533424745135","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"80","2025-02-10","09:58:53.42","1739181533428748575","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"81","2025-02-10","09:58:53.43","1739181533432760883","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"82","2025-02-10","09:58:53.43","1739181533436749767","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"83","2025-02-10","09:58:53.44","1739181533440751683","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"84","2025-02-10","09:58:53.44","1739181533444753887","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"85","2025-02-10","09:58:53.44","1739181533448748651","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"86","2025-02-10","09:58:53.45","1739181533452761643","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"87","2025-02-10","09:58:53.45","1739181533456749291","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"88","2025-02-10","09:58:53.46","1739181533460760315","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"89","2025-02-10","09:58:53.46","1739181533464744459","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"90","2025-02-10","09:58:53.46","1739181533468758806","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"91","2025-02-10","09:58:53.47","1739181533472748446","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
